album_id,album_title,disc_number,track_number,title,length_seconds
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,11,There’s a Place,113
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,12,Twist and Shout,153
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,1,I Saw Her Standing There,175
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,2,Misery,105
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,3,Anna (Go to Him),177
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,4,Chains,146
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,5,Boys,147
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,6,Love Me Do,141
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,7,P.S. I Love You,124
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,8,Baby It’s You,160
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,9,Do You Want to Know a Secret,120
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,10,A Taste of Honey,125
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,11,There’s a Place,113
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1,12,Twist and Shout,153
57c402b0-9cdc-4354-aac5-f3ad6d4d4078,Introducing… The Beatles,1,1,I Saw Her Standing There,175
57c402b0-9cdc-4354-aac5-f3ad6d4d4078,Introducing… The Beatles,1,2,Misery,105
